chapter,question,options,correct-answer,note,page,difficulty
5,"If you are feeling fatigued while driving, you should:","""a: Increase your speed to reach your destination more quickly., b: Increase the volume of your radio., c: Find a safe parking area to take a short nap.""","""c""","""Fatigue and drowsiness can affect your vision and increase reaction time to hazards. 'Find a safe parking area to take a short nap.'  is the only option that directly addresses the issue of fatigue.""",9,easy
5,"If you are getting tired while driving, you should:","""a: Stop and either get rest or change drivers., b: Drink something with caffeine., c: Open a window.""","""a""","""The DMV Handbook states on page 9 'Fatigue and Drowsiness - Can affect your vision and increase reaction time to hazards.'""",9,easy
5,"If you become drowsy while driving, you should:","""a: Try to fight it., b: Take a break., c: Take some caffeine pills.""","""b""","""The DMV handbook states that fatigue and drowsiness can affect your vision and increase reaction time to hazards. It is recommended to take a break if you become drowsy while driving.""",9,easy
5,"If you have an argument with another person and you are angry, you should:","""a: Loudly play the radio while driving so you won’t think about your argument., b: Take a few minutes to cool off before driving., c: Drive on the interstate to let off steam.""","""b""","""The DMV handbook states that 'Fatigue and Drowsiness - Can affect your vision and increase reaction time to hazards.'""",9,easy
5,Reaction time is slower after:,"""a: Drinking alcohol., b: Sleeping., c: Working hard.""","""a""","""The DMV handbook states that 'Fatigue and Drowsiness - Can affect your vision and increase reaction time to hazards.'""",9,easy
5,"To be able to turn quickly, your hands must be:","""a: On opposite sides of the steering wheel., b: Next to each other on the top of the steering wheel., c: On the top and bottom of the steering wheel.""","""a""","""To control your vehicle, it is critical to keep both hands on the wheel whenever possible. Hand-to-Hand Steering (Push/Pull): To use this steering wheel method: 1. Start with your hands at 9 and 3 o'clock or 8 and 4 o'clock. 2. Do not cross your hands over the middle of the steering wheel. 3. Keep your hands in these positions, even when making turns.""",9,medium
5,What is a potential effect of taking a prescription drug while drinking alcohol?,"""a: There will likely be no effect., b: It will make you more alert., c: It can make you unfit to drive.""","""c""","""The DMV Handbook states on page 9 that 'Prescription and over-the-counter medications can make you an unsafe driver. Some medicines can make you sleepy.' This implies that taking a prescription drug while drinking alcohol can negatively affect your driving abilities.""",9,easy
5,"When taking any medicine, you should:","""a: Consult your doctor about the effects before driving., b: Have someone follow you home., c: Keep your window open and drive more slowly.""","""a""","""The DMV handbook states, 'Prescription and over-the-counter medications can make you an unsafe driver. Some medicines can make you sleepy. It is your responsibility to know the effects of the medications you take.'""",9,easy
5,Which of the following statements is correct?,"""a: Use your left foot to brake., b: Use your right foot for both braking and accelerating your vehicle., c: You should always brake abruptly to ensure stopping.""","""b""","""The DMV handbook states that 'To control your vehicle, it is critical to keep both hands on the wheel whenever possible.' This indicates that you should use your right foot for both braking and accelerating. So option 'b' is correct.""",9,easy
5,Which of these statements is true about driving and taking medications?,"""a: Most cold medications can make a person drowsy., b: Over-the-counter medications cannot impair driving ability if taken in the recommended dosages., c: Medications are safe to take at any time""","""a""","""The DMV handbook states that 'Prescription and over-the-counter medications can make you an unsafe driver. Some medicines can make you sleepy. It is your responsibility to know the effects of the medications you take.'""",9,easy
5,All of the following are dangerous while driving. Which is also illegal?,"""a: Having one or more interior lights on, b: Wearing a headset that covers both ears, c: Using cruise control on residential streets""","""b""","""The DMV handbook states on page 10, 'It is illegal to wear a headset or earplugs in both ears while driving.'""",10,medium
5,"When parking next to a curb, you should use your turn signals","""a: When pulling next to or away from the curb, b: When pulling next to but not away from the curb, c: Only when pulling away from the curb""","""a""","""The DMV handbook states, 'You should signal... Before pulling next to the curb or away from the curb.'""",10,easy
5,You should use turn signals to indicate your intention with sufficient time to allow other drivers to see the signal,"""a: Before you move, b: After you move, c: If it’s raining""","""a""","""The DMV handbook states, 'Always signal when you turn, change lanes, slow down, or stop.'""",10,easy
5,You should signal at least 100 feet before you turn...,"""a: Before every lane change., b: At least 5 seconds before you change lanes on a freeway., c: None of the above., d: both a and b""","""d""","""The text states, 'You should signal: At least 100 feet before you turn, Before every lane change., At least five seconds before you change lanes on a freeway.'""",10,easy
5,You should use your turn signals...,"""a: When changing lanes or merging into traffic., b: When turning left or right., c: Both of the above., d: None of the above""","""c""","""The DMV Handbook states that you should 'Always signal when you turn, change lanes, slow down, or stop.'  This includes both turning left or right and changing lanes or merging.""",10,easy
5,What happens if you do not signal when required?,"""a: you may get a ticket, b: you may cause an accident, c: all of the above""","""c""","""The DMV handbook states that it is important to signal when making a turn, changing lanes, slowing down, or stopping, and that failing to do so could result in a ticket or cause an accident. The correct answer is all of the above.""",10,easy
5,How should bicyclists signal a turn?,"""a: using their vehicle's signal lights, b: using hand and arm positions, c: using their horn""","""b""","""Bicyclists may signal a turn with their arm held straight out, pointing in the direction they plan to turn.  This information is located on page 10 of The DMV handbook.""",10,easy
5,Do you need to signal when you pull away from the curb?,"""a: Yes. You need to signal when you pull away from the curb, b: No you only need to signal when you approach the curb, c: only if there are other vehicles around you""","""a""","""The DMV Handbook states 'You should signal: ... Before pulling next to the curb or away from the curb.'""",10,easy
5,When is it required to signal before changing lanes?,"""a: at all times, b: only when there are other vehicles nearby, c: only when changing lanes on a freeway""","""a""","""The DMV Handbook states that you should 'Always signal when you turn, change lanes, slow down, or stop.'""",10,easy
5,You are about to make a left turn. You must signal continuously for how many feet before making the turn?,"""a: 275 feet, b: 100 feet, c: 50 feet""","""b""","""According to the California Driver's Handbook, you must signal 'at least 100 feet before you turn.'""",10,easy
5,Is it legal to use your horn in residential areas?,"""a: Yes as long as you use it during the day, b: It is only legal if you live in the residential area, c: No it is not legal to use the horn in residential areas unless it is an emergency""","""c""","""The DMV handbook states on page 10: 'Use your vehicle's horn to let other drivers know you are there or warn others of a hazard. Use your horn to: - Avoid collisions. - Alert oncoming traffic on narrow mountain roads where you cannot see at least 200 feet ahead.'""",10,easy
5,You should signal continuously while turning because it:,"""a: Is illegal to turn off your signal before completing a turn., b: Lets other drivers know what your intentions are., c: Is always unsafe to turn off a signal before completing a turn.""","""b""","""The DMV handbook states that you should signal when you turn because 'Always signal when you turn, change lanes, slow down, or stop. You can signal using your vehicle's signal lights or using hand-and-arm positions.'""",10,easy
5,What can you do to reduce road rage?,"""a: Always signal your intention when changing lanes., b: Talk on your cell phone while driving., c: Use your horn frequently.""","""a""","""Signaling your intention when changing lanes helps prevent other drivers from getting frustrated and reduces the chance of road rage. The DMV Handbook states that 'You should signal: At least 100 feet before you turn. Before every lane change.'""",10,easy
5,You should signal at least how many feet before you turn?,"""a: 50, b: 75, c: 100""","""c""","""According to the DMV handbook, 'You should signal at least 100 feet before you turn.'""",10,easy
5,You should use your horn when:,"""a: Another vehicle is in your way., b: It may help prevent a collision., c: Another driver makes a mistake.""","""b""","""According to page 10, 'Use your vehicle's horn to let other drivers know you are there or warn others of a hazard. Use your horn to: Avoid collisions.'""",10,easy
5,How many feet away should you switch from high beam to low beam headlights when approaching a vehicle coming towards you?,"""a: 900 feet., b: 700 feet., c: 500 feet.""","""c""","""Dim your high-beam headlights to low beams within 500 feet of a vehicle coming toward you.""",11,easy
5,Which lights should be used if a driver is having trouble seeing other vehicles because of dust or smoke blowing across the roadway?,"""a: Parking lights., b: Emergency lights., c: Headlights.""","""c""","""The DMV handbook states on page 11, 'Use your headlights: When conditions (such as clouds, dust, smoke, or fog) prevent you from seeing other vehicles.'""",11,easy
5,When should you signal?,"""a: Before turning 150 feet before turning., b: 2100 feet before turning., c: 3200 feet before turning., d: none of the above""","""a""","""The DMV handbook states that drivers should signal 'At least 100 feet before you turn.'""",11,easy
5,You must turn on your headlights...,"""a: Only when it is completely dark outside., b: When it is too dark to see from 1000 feet away., c: When it is too dark to see from 500 feet away., d: None of the above""","""b""","""The DMV handbook states: 'Use your headlights... When it is too dark to see from 1,000 feet away.'""",11,easy
5,When can you drive using only parking lights?,"""a: 30 minutes after sunset or 30 minutes before sunrise, b: on foggy days, c: Not under any circumstances""","""c""","""It is illegal to drive using only parking lights.""",11,easy
5,You are driving at night on a dimly lit street and using high beams. You should dim your lights when you are within 500 feet of,"""a: a vehicle approaching you from behind, b: an oncoming vehicle, c: a sharp curve or hill""","""b""","""According to page 11 of The DMV handbook, you should 'Dim your high-beam headlights to low beams within 500 feet of a vehicle coming toward you or within 300 feet of a vehicle you are following.'""",11,easy
5,When should you turn off your turn signal?,"""a: as soon as you have completed the turn or lane change, b: as soon as you begin the turn or lane change, c: before you begin the turn or lane change""","""a""","""You should turn off your signal 'when you no longer need it.'""",11,easy
5,When should you turn on your headlights on mountain roads and tunnels?,"""a: only on cloudy days, b: only at night, c: always regardless of weather conditions""","""c""","""According to The DMV handbook, 'Use your headlights: On mountain roads and tunnels (even on sunny days).'""",11,easy
5,Dim your high beam headlights to low beams within,"""a: 200 feet when a vehicle is coming towards you, b: 300 feet when a vehicle is coming towards you, c: 500 feet when a vehicle is coming towards you""","""c""","""According to The DMV handbook, 'Dim your high-beam headlights to low beams within 500 feet of a vehicle coming toward you or within 300 feet of a vehicle you are following.' This information is found on page 11 of the DMV handbook.""",11,easy
5,Flash your brake lights or turn on your emergency flashers if you:,"""a: Need to warn other drivers of an accident ahead., b: Are temporarily parked in a traffic lane to make a delivery., c: Are backing out of a parking space.""","""a""","""The DMV handbook states, 'If you can see a collision or hazard ahead, warn drivers behind you using these methods: Turn on your emergency flashers, Lightly tap your brake pedal three or four times, Use a hand signal when slowing and stopping.""",11,easy
5,"When parking next to a curb, you should use your turn signals:","""a: Only when pulling away from the curb., b: When pulling next to but not away from the curb., c: When pulling next to or away from the curb.""","""c""","""According to the California Driver's Handbook, 'You should signal: ... Before pulling next to the curb or away from the curb.'""",11,easy
5,"At dawn or dusk and in rain or snow, it can be hard to see and be seen. A good way to let other drivers know you are there is to turn:","""a: Up the instrumental panel lights., b: On your parking lights., c: On your headlights.""","""c""","""The DMV handbook states 'Use your headlights: When it is too dark to see from 1,000 feet away, Beginning 30 minutes after sunset, Until 30 minutes before sunrise, In adverse weather. If you need to use your windshield wipers due to fog, rain, or snow, you must turn on your low-beam headlights.'""",11,easy
5,Dim your headlights for oncoming vehicles or when you are within 300 feet of a vehicle:,"""a: That you are approaching from behind., b: Approaching you from behind., c: That you have already passed.""","""a""","""The DMV handbook states on page 11, 'Dim your high-beam headlights to low beams within 500 feet of a vehicle coming toward you or within 300 feet of a vehicle you are following.'""",11,easy
5,If weather or light conditions require you to have your lights on while driving:,"""a: Use your parking lights., b: Use your high beams., c: Use your low beams.""","""c""","""According to page 11, 'Use your headlights: ...If you need to use your windshield wipers due to fog, rain, or snow, you must turn on your low-beam headlights.'""",11,easy
5,"On rainy, snowy, or foggy days, turn on your windshield wipers and use your headlights:","""a: On the high beam setting., b: So other drivers can see you., c: Only when driving on the freeway.""","""b""","""The DMV handbook states, 'If you need to use your windshield wipers due to fog, rain, or snow, you must turn on your low-beam headlights.' This indicates that headlights should be used on such days to make your vehicle visible to other drivers.""",11,easy
5,"To help others see you when daylight begins to fade, you should use your:","""a: Parking lights., b: Low beam headlights., c: Emergency flashers.""","""b""","""According to page 11, 'Your vehicle's headlights help you see what is in front of you. They also make it easier for other drivers to see your vehicle.'""",11,easy
5,"Use your headlights on rainy, snowy, or foggy days:","""a: To keep your engine warm., b: So others can see your vehicle., c: To warn others of bad weather conditions.""","""b""","""The DMV handbook states, 'Your vehicle's headlights help you see what is in front of you. They also make it easier for other drivers to see your vehicle.'  Therefore, the correct answer is 'So others can see your vehicle.'""",11,easy
5,"When driving behind another vehicle at night, you should:","""a: Keep your headlights on the low beam setting., b: Use your high beam headlights until you are within 10 feet of the vehicle ahead., c: Use your high beam headlights.""","""a""","""When driving at night, you should dim your high-beam headlights to low beams within 500 feet of a vehicle coming toward you or within 300 feet of a vehicle you are following.""",11,easy
5,"When driving in fog, rain, or snow, use:","""a: Low beams., b: High beams., c: Fog lights only.""","""a""","""The DMV handbook states that 'When it is raining, use your low-beam headlights.'""",11,easy
5,You should not use your horn:,"""a: When visibility ahead is limited., b: If you might hit another vehicle., c: Near blind pedestrians.""","""c""","""According to the DMV handbook, you should use your horn to 'Avoid collisions.'""",11,easy
5,You should turn on your headlights:,"""a: One half hour after sunset., b: When stopped at a railroad crossing., c: When parked at a school.""","""a""","""The DMV Handbook states, 'Use your headlights: Beginning 30 minutes after sunset. Until 30 minutes before sunrise.'""",11,easy
5,"When both right and left turn signals are flashing at the same time on a moving vehicle, it means","""a: It is carrying children to or from school, b: Let the vehicle have the right-of-way, c: There may be a hazard or an accident ahead""","""c""","""If you can see a collision or hazard ahead, warn drivers behind you using these methods: Turn on your emergency flashers. Lightly tap your brake pedal three or four times. Use a hand signal when slowing and stopping.""",12,easy
5,"When parking on a public road, drivers should","""a: Move as far away from traffic as possible, b: Always park on the left side of the roadway, c: All of the above""","""a""","""The DMV handbook states that drivers should 'pull off the road away from all traffic' when they need to stop due to vehicle trouble. This indicates that drivers should 'move as far away from traffic as possible' when parking on a public road.""",12,easy
5,You should turn on your hazard lights when,"""a: driving in heavy rain or fog, b: your car has broken down on the side of the road, c: you are double parked""","""b""","""The DMV handbook states 'If you need to stop because of vehicle trouble: - Turn on your emergency flashers. If your vehicle does not have emergency flashers, use your turn signals.'""",12,easy
5,You may use your horn on narrow mountain roads,"""a: to alert oncoming traffic where you cannot see at least 200 feet ahead, b: to let pedestrians know you are there, c: to signal to other drivers that you are in a hurry""","""a""","""The DMV Handbook states on page 12: 'Use your vehicle's horn to let other drivers know you are there or warn others of a hazard. Use your horn to: Avoid collisions. Alert oncoming traffic on narrow mountain roads where you cannot see at least 200 feet ahead.'""",12,easy
5,Flash your brake lights or turn on your emergency flashers if you:,"""a: Need to warn other drivers of a collision ahead., b: Are temporarily parked in a traffic lane to make delivery., c: Are backing out of a parking space.""","""a""","""The DMV handbook states, 'If you can see a collision or hazard ahead, warn drivers behind you using these methods: Turn on your emergency flashers, Lightly tap your brake pedal three or four times, Use a hand signal when slowing and stopping.'""",12,easy
5,If you must park your vehicle in an area not usually used for parking:,"""a: Park with your reverse lights on., b: Make sure your vehicle is visible to drivers approaching from any direction., c: Park five feet from the curb.""","""b""","""The DMV handbook states 'If you cannot get completely off the road, stop where people can see you and your vehicle from behind.'  This means your vehicle must be visible from any direction to avoid collisions with other drivers.""",12,easy
5,If your vehicle has a mechanical problem:,"""a: Signal and pull into the slow lane., b: Stop in your lane and put on your hazard lights., c: Put on your hazard lights and pull off the road.""","""c""","""If you need to stop because of vehicle trouble: Turn on your emergency flashers. If your vehicle does not have emergency flashers, use your turn signals, If possible, pull off the road away from all traffic.""",12,easy
6,You must not cross a solid double line in the center of the roadway to,"""a: Overtake and pass another vehicle, b: Make a left turn, c: Enter a private driveway""","""b""","""The DMV handbook states, 'Do not pass over double solid yellow lines... make a left turn... except at designated openings.' (Page 13)""",13,medium
6,Treat lines as a barrier. When,"""a: two sets of solid double white lines are spaced 2 feet apart, b: two sets of solid double yellow lines are spaced 2 or more feet apart, c: two sets of broken yellow lines are spaced 1 foot apart""","""b""","""The DMV handbook states that 'Two sets of solid double yellow lines spaced two or more feet apart are considered a barrier. Do not drive on or over this barrier, make a left turn, or make a U-turn across it, except at designated openings.'""",13,medium
6,A solid yellow line next to a broken yellow line means that vehicles:,"""a: In both directions may pass., b: Next to the broken line may pass., c: Next to the solid line may pass.""","""b""","""A broken yellow line indicates you may pass if the broken line is next to your driving lane. Only pass when it is safe.""",13,easy
6,A broken yellow centerline indicates that:,"""a: Passing is not permitted., b: Passing on the right is permitted when the way ahead is clear., c: Passing on the left is permitted when the way ahead is clear.""","""c""","""A broken yellow line indicates you may pass if the broken line is next to your driving lane. Only pass when it is safe.""",13,easy
6,A broken yellow line beside a solid yellow line indicates that:,"""a: Passing is permitted from the lane next to the solid yellow line., b: Passing is not permitted from either direction., c: Passing is permitted from the lane next to the broken yellow line.""","""c""","""A broken yellow line indicates you may pass if the broken line is next to your driving lane. Only pass when it is safe. """,13,easy
6,A solid yellow line on your side of the centerline means:,"""a: Reduce your speed., b: Traffic light ahead., c: Do not pass.""","""c""","""A single solid yellow line marks the center of a road with two-way traffic. Do not pass a vehicle in front of you if there is only one lane of traffic going your direction and a solid yellow line on your side of the road.""",13,easy
6,Broken yellow lines are used on streets and highways to:,"""a: Indicate no passing zones., b: Separate lanes of traffic moving in the same direction., c: Separate lanes of traffic moving in opposite directions.""","""c""","""Broken yellow lines separate lanes of traffic moving in opposite directions. 'A broken yellow line indicates you may pass if the broken line is next to your driving lane.'""",13,easy
6,Double solid yellow line markings down the center of a road indicate that passing is:,"""a: Allowed from both directions., b: Allowed only from your direction of travel., c: Not allowed from either direction.""","""c""","""Double solid yellow lines indicate a lane barrier between two-way traffic.  'Do not pass over double solid yellow lines.' """,13,easy
6,Two sets of solid double yellow lines that are two or more feet apart:,"""a: May be crossed to enter or exit a private driveway., b: May not be crossed for any reason., c: Should be treated as a separate traffic lane.""","""b""","""Two sets of solid double yellow lines spaced two or more feet apart are considered a barrier. Do not drive on or over this barrier, make a left turn, or make a U-turn across it, except at designated openings.""",13,medium
6,When double solid yellow lines separate lanes of traffic:,"""a: Passing is permitted from the left., b: Passing is permitted from the right., c: Passing is not permitted from either direction.""","""c""","""Double solid yellow lines indicate a lane barrier and passing is not permitted from either direction. 'Do not pass over double solid yellow lines.'""",13,easy
6,You may pass a vehicle when:,"""a: You are on a hill or curve., b: You are on a road with a solid line next to your lane., c: You are on a road with a broken line next to your lane.""","""c""","""A broken yellow line indicates you may pass if the broken line is next to your driving lane. Only pass when it is safe.""",13,easy
6,"To be sure a lane is clear before moving into it, you should","""a: Turn your head and look, b: Look in the left side mirror, c: Look into the rear-view mirror""","""a""","""The DMV Handbook on page 14 states, 'Before you change lanes: ... Look over your shoulder in the direction you plan to move to make sure the lane is clear.'""",14,easy
6,Drivers are legally required to signal their intention to turn left or right continuously during the last 100 feet traveled before making the turn. What is the proper way to signal when changing lanes?,"""a: Signal and immediately change lanes., b: Look over your shoulder then signal and then change lanes., c: Change lanes and then signal., d: None of the above""","""b""","""The DMV handbook states 'Before you change lanes: Signal. Check your mirrors. Check traffic behind and beside you. Look over your shoulder in the direction you plan to move to make sure the lane is clear. Check your blind spots for other vehicles, motorcyclists, and bicyclists. Do not let the vehicle drift into another lane.'""",14,medium
6,"When driving on a multi-lane street with two-way traffic, you should:","""a: Drive alongside the other vehicles so the drivers can see you., b: You should drive ahead of or behind the other vehicles., c: It is safest to drive in the lane next to the center line.""","""c""","""The DMV handbook states that the left lane, or the lane next to the center line, should be used for passing or making a left turn. This lane would be safest for driving on a multi-lane street with two-way traffic as it keeps you away from the oncoming traffic.""",14,easy
6,"Before changing lanes or attempting to pass another vehicle, you should:","""a: Check your blind spots and mirrors., b: Signal your intention before changing lanes., c: All of the above.""","""c""","""The DMV handbook states, 'Before you change lanes: - Signal. - Check your mirrors. - Check traffic behind and beside you. - Look over your shoulder in the direction you plan to move to make sure the lane is clear. - Check your blind spots for other vehicles, motorcyclists, and bicyclists. Do not let the vehicle drift into another lane.' This implies all of the above options are necessary.""",14,easy
6,Changing from one lane to another is best done:,"""a: Quickly and often., b: When a car is in your blind spot., c: Gradually and carefully.""","""c""","""Changing lanes should be done gradually and carefully to avoid collisions. 'Before you change lanes: Signal. Check your mirrors. Check traffic behind and beside you. Look over your shoulder in the direction you plan to move to make sure the lane is clear. Check your blind spots for other vehicles, motorcyclists, and bicyclists. Do not let the vehicle drift into another lane. Be sure there is enough space for your vehicle in the next lane. It is not necessary to slow down before a lane change.'""",14,easy
6,Double solid yellow lane markings mean that:,"""a: Neither lane may pass., b: Both lanes may pass., c: The lane to the right may pass.""","""a""","""Double solid yellow lane markings indicate a lane barrier between a regular use and a preferential use lane, such as a carpool (HOV) lane. You may also see double solid white lines in or near freeway on and off ramps. Never change lanes over double solid white lines. Wait until you see a single broken white line.""",14,easy
6,If you are driving on a highway next to a single broken white line marking:,"""a: You cannot cross the line to pass., b: You may cross the line to pass and change lanes., c: You may only cross the line to change lanes if you are in the left lane.""","""b""","""A broken white line indicates that you may cross the line to pass or change lanes.""",14,easy
6,"If you drive faster than other vehicles on a road with one lane moving in each direction and continually pass the other cars, you will:","""a: Get you to your destination much more quickly and safely., b: Increase your chances of an collision., c: Help prevent traffic congestion.""","""b""","""The DMV Handbook states that 'Staying in one lane as much as possible. Do not weave in and out of traffic. Last minute lane or direction changes may increase the risk of collisions.' (page 14)""",14,easy
6,Roads with double solid yellow line markings down the center indicate that passing is:,"""a: Allowed from both directions., b: Allowed only from your direction of travel., c: Not allowed from either direction.""","""c""","""Double solid yellow lines indicate a lane barrier between a regular use and a preferential use lane, such as a carpool (HOV) lane. You may also see double solid white lines in or near freeway on and off ramps. Never change lanes over double solid white lines. Wait until you see a single broken white line. """,14,easy
6,"When changing lanes, you should never:","""a: Cross the centerline in an intersection., b: Check your blind spots by looking over your left or right shoulder., c: Check for other drivers moving into the same lane.""","""a""","""The DMV handbook states on page 14: 'Never change lanes over double solid white lines. Wait until you see a single broken white line.'""",14,easy
6,When changing lanes:,"""a: Check your side mirror and look over your shoulder to make sure the lane is clear., b: Check the inside rearview mirror., c: Slow down.""","""a""","""The DMV handbook states that before changing lanes, you should 'Check your mirrors. Check traffic behind and beside you. Look over your shoulder in the direction you plan to move to make sure the lane is clear.'""",14,easy
6,When driving on a multilane street with two-way traffic:,"""a: Drive alongside other vehicles so the drivers can see you., b: You should drive ahead of or behind the other vehicles., c: It is safest to drive in the lane next to the centerline.""","""b""","""The DMV handbook states that on a multilane road with two-way traffic, 'Use the left lane to pass or turn left.' and 'Use the right lane to enter or exit traffic or when you enter the road from a curb or shoulder.'""",14,medium
6,"When you want to change lanes, you should never:","""a: Move into another lane while within an intersection., b: Check your blind spot by looking over your shoulder., c: Check for other drivers moving into the same lane.""","""a""","""The DMV handbook states that 'Once you start moving through an intersection, keep going. If you start to make a turn, follow through.' (page 14) It is not safe to change lanes within an intersection as other vehicles may be approaching or already in the intersection.""",14,easy
6,Which of the following increases your chances of being in a collision?,"""a: Looking over your shoulder while making lane changes, b: Continuously changing lanes to pass other vehicles, c: Adjusting your rearview mirror before you start driving""","""b""","""Continuously changing lanes to pass other vehicles increases the risk of collision.  'Stay in one lane as much as possible. Do not weave in and out of traffic. Last minute lane or direction changes may increase the risk of collisions.'""",14,easy
6,Which of the following is not a safe driving practice when driving on the interstate?,"""a: Slower traffic must keep to the right., b: Change lanes without signaling., c: If you miss your exit""","""b""","""The DMV handbook states 'Stay in one lane as much as possible. Do not weave in and out of traffic. Last minute lane or direction changes may increase the risk of collisions.'  Changing lanes without signaling is not a safe driving practice, and it is not allowed on the interstate.""",14,easy
6,Which of these statements is true about changing lanes?,"""a: You only need to turn and look over your right shoulder for lane changes to the right or left., b: Look over your right shoulder for a right lane change and your left shoulder for a left lane change., c: Vehicles with two outside mirrors do not have blind spots.""","""b""","""Before changing lanes, you should check your mirrors, check traffic behind and beside you, and then look over your shoulder in the direction you plan to move to make sure the lane is clear.""",14,easy
6,While driving on a roadway with a single broken white centerline:,"""a: You must stay within your lane., b: You may cross the centerline to change lanes., c: You may change lanes only from the left lane.""","""b""","""A broken white line separates traffic lanes on roads with two or more lanes in the same direction.  You may change lanes over a broken white line.""",14,easy
6,You are driving in the far right lane of a four-lane freeway and notice thick broken white lines on the left side of your lane. You are driving in:,"""a: The carpool lane and must merge into the next lane., b: A special lane for slow-moving vehicles., c: An exit lane.""","""c""","""According to page 14, 'Ending freeway and street lanes are usually marked with large broken lines. If you are driving in a lane marked with broken lines, be prepared to exit the freeway or for the lane to end.'""",14,easy
6,Carpool lanes are marked with a diamond symbol. To use these lanes during the special hours shown on the signs you must,"""a: Be driving a van or bus, b: Drive at the speed limit or have your lights on, c: Have the minimum number of passengers shown on the signs.""","""c""","""Carpool lanes are marked with a diamond symbol and the words 'Carpool Lane'. 'To use an HOV lane, one of these must apply: - You have a certain number of people in your vehicle. There will be signs at the on-ramp or along the road to tell you the minimum number of people. Road signs also list the hours when the HOV rules apply.'""",15,easy
